time(s)	rudder(deg)	yaw_rate_deg_s
0	0.026	0.061
0.05	0.016	-0.035
0.1	0.037	-0.074
0.15	0.017	0.044
0.2	0.068	-0.17
0.25	-0.013	0.056
0.3	0.029	0.015
0.35	-0.004	-0.087
0.4	-0.013	0.159
0.45	-0.025	0.046
0.5	-0.059	-0.197
0.55	0.003	-0.084
0.6	-0.019	0.039
0.65	0.052	0.063
0.7	0.035	0.125
0.75	0.007	-0.159
0.8	0.059	0.016
0.85	-0.054	-0.023
0.9	0.002	0.029
0.95	0.059	-0.124
1	0.019	-0.039
1.05	0.886	-0.239
1.1	1.594	-0.625
1.15	2.024	-1.261
1.2	2.539	-2.104
1.25	2.865	-2.836
1.3	3.103	-3.893
1.35	3.29	-4.727
1.4	3.488	-5.719
1.45	3.53	-6.506
1.5	3.632	-7.243
1.55	3.828	-7.817
1.6	3.791	-8.416
1.65	3.827	-8.794
1.7	3.829	-9.109
1.75	3.913	-9.423
1.8	3.913	-9.513
1.85	3.894	-9.54
1.9	3.969	-9.26
1.95	3.977	-8.902
2	3.938	-8.739
2.05	3.947	-8.277
2.1	4.006	-7.713
2.15	3.961	-6.984
2.2	4.025	-6.393
2.25	3.967	-5.696
2.3	4.028	-4.745
2.35	3.941	-4.049
2.4	4.074	-3.356
2.45	3.998	-2.499
2.5	3.944	-1.75
2.55	3.948	-1.079
2.6	3.95	-0.387
2.65	3.949	0.14
2.7	4.023	0.838
2.75	4.047	1.48
2.8	3.946	1.58
2.85	4	2.048
2.9	3.997	2.133
2.95	3.96	2.319
3	4.016	2.563
3.05	2.694	2.505
3.1	1.6	2.92
3.15	0.822	3.801
3.2	0.144	4.967
3.25	-0.284	5.66
3.3	-0.672	6.504
3.35	-0.957	7.477
3.4	-1.182	8.315
3.45	-1.358	9.16
3.5	-1.479	9.823
3.55	-1.655	9.911
3.6	-1.747	10.399
3.65	-1.849	10.518
3.7	-1.862	10.469
3.75	-1.835	10.164
3.8	-1.832	9.843
3.85	-1.926	9.219
3.9	-1.885	8.75
3.95	-1.956	8.127
4	-1.976	7.294
4.05	-1.49	6.375
4.1	-1.237	5.038
4.15	-0.915	3.712
4.2	-0.711	2.198
4.25	-0.575	0.621
4.3	-0.368	-0.813
4.35	-0.25	-2.535
4.4	-0.296	-3.91
4.45	-0.247	-5.332
4.5	-0.144	-6.64
4.55	-0.081	-8.132
4.6	-0.083	-9.115
4.65	-0.019	-10.145
4.7	-0.022	-11.029
4.75	-0.013	-11.846
4.8	-0.039	-12.441
4.85	-0.034	-12.797
4.9	-0.006	-13.103
4.95	0.007	-13.104
5	-0.05	-12.978
5.05	0	-13.031
5.1	-0.059	-12.576
5.15	-0.024	-12.123
5.2	0.031	-11.567
5.25	-0.046	-10.797
5.3	0.073	-9.952
5.35	0.013	-9.209
5.4	-0.041	-8.174
5.45	0.094	-7.328
5.5	-0.048	-6.212
5.55	-0.022	-5.08
5.6	0.072	-4.292
5.65	0.009	-3.223
5.7	-0.017	-2.372
5.75	-0.05	-1.395
5.8	-0.05	-0.458
5.85	0.023	0.423
5.9	-0.061	0.897
5.95	0.017	1.817
6	-0.009	2.161
6.05	0.012	2.689
6.1	-0.021	3.326
6.15	-0.007	3.555
6.2	0	3.603
6.25	0.008	3.725
6.3	-0.067	3.814
6.35	-0.051	3.537
6.4	0.059	3.491
6.45	0.043	3.223
6.5	-0.038	2.838
